"Número de pieza del fabricante","Fabricante","Número de pieza de Digi-Key","Referencia del cliente","Cantidad","Precio unitario","Precio total","Cantidad disponible","Tiempo esper. de fabricación:","Descripción","Estado RoHS","Estado Libre de plomo","Estatus REACH"
"Mfg Part #","","","","","","","","","","","",""
"GRM188R71C104KA01D","Murata Electronics North America","490-1532-1-ND","","19","0.07400","$1.40","2349305","No disponible","CAP CER 0.1UF 16V X7R 0603","Cumple con RoHS","Sin plomo","No afectado"
"GRM188R71C104KA01D","Murata Electronics North America","490-1532-1-ND","","3","0.10000","$0.30","2349305","No disponible","CAP CER 0.1UF 16V X7R 0603","Cumple con RoHS","Sin plomo","No afectado"
"CL31A106MBHNNNE","Samsung Electro-Mechanics","1276-6736-1-ND","","4","0.33000","$1.32","41139","26 Semanas","CAP CER 10UF 50V X5R 1206","Cumple con RoHS","Sin plomo","No afectado"
"GRT31CR61E226ME01L","Murata Electronics North America","490-12451-1-ND","","1","0.55000","$0.55","18633","No disponible","CAP CER 22UF 25V X5R 1206","Cumple con RoHS","Sin plomo","No afectado"
"C4532X7R1C336M250KC","TDK Corporation","445-3924-1-ND","","1","1.66000","$1.66","52088","No disponible","CAP CER 33UF 16V X7R 1812","Cumple con RoHS","Sin plomo","No afectado"
"CMD17-21VGD/TR8","Visual Communications Company - VCC","L62505CT-ND","","1","0.50000","$0.50","20775","4 Semanas","LED GREEN DIFFUSED 0805 SMD","Cumple con RoHS","Sin plomo","No afectado"
"VS-4EGU06-M3/5BT","Vishay Semiconductor Diodes Division","VS-4EGU06-M3/5BTGICT-ND","","1","0.69000","$0.69","47294","34 Semanas","DIODE GEN PURP 600V 4A DO214AA","Cumple con RoHS","Sin plomo","No afectado"
"LP L296-J2L2-25-Z","OSRAM Opto Semiconductors Inc.","475-2920-1-ND","","1","0.48000","$0.48","33955","16 Semanas","LED GREEN DIFFUSED 0603 SMD","Cumple con RoHS","Sin plomo","No afectado"
"5024430670","Molex, LLC","WM2279CT-ND","","2","0.71000","$1.42","248","17 Semanas","CONN RCPT VERT 6POS 2.00MM PCB","Cumple con RoHS","Sin plomo","No afectado"
"95278-101A14LF","Amphenol FCI","609-3485-1-ND","","1","1.44000","$1.44","4775","5 Semanas","BERGSTIK HDR 14POS .100"" DR SMT","Cumple con RoHS","Sin plomo","No disponible"
"20021121-00010C4LF","Amphenol FCI","609-3695-1-ND","","1","0.80000","$0.80","79797","7 Semanas","CONN HEADER 10POS DL UNSHRD SMD","Cumple con RoHS","Sin plomo","No disponible"
"5024430870","Molex, LLC","WM2280CT-ND","","1","0.81000","$0.81","2282","10 Semanas","CONN RCPT VERT 8POS 2.00MM PCB","Cumple con RoHS","Sin plomo","No afectado"
"MH2029-300Y","Bourns Inc.","MH2029-300YCT-ND","","1","0.10000","$0.10","330061","15 Semanas","FERRITE BEAD 30 OHM 0805 1LN","Cumple con RoHS","Sin plomo","No afectado"
"VLP8040T-100M","TDK Corporation","445-6570-1-ND","","1","0.60000","$0.60","8426","No disponible","FIXED IND 10UH 3.2A 38 MOHM SMD","Cumple con RoHS","Sin plomo","No afectado"
"SRN6045-100M","Bourns Inc.","SRN6045-100MCT-ND","","1","0.50000","$0.50","87342","20 Semanas","FIXED IND 10UH 2.5A 58.6 MOHM","Cumple con RoHS","Sin plomo","No afectado"
"RC0603FR-072K2L","Yageo","311-2.20KHRCT-ND","","5","0.10000","$0.50","3467761","23 Semanas","RES SMD 2.2K OHM 1% 1/10W 0603","Cumple con RoHS","Sin plomo","No afectado"
"CR0603-JW-331ELF","Bourns Inc.","CR0603-JW-331ELFCT-ND","","1","0.10000","$0.10","34290","13 Semanas","RES SMD 330 OHM 5% 1/10W 0603","Cumple con RoHS","Sin plomo","No afectado"
"RC0603JR-10100KL","Yageo","YAG2294CT-ND","","1","0.10000","$0.10","322100","23 Semanas","RES SMD 100K OHM 5% 1/10W 0603","Cumple con RoHS","Sin plomo","No afectado"
"ESR03EZPJ511","Rohm Semiconductor","RHM510DCT-ND","","1","0.10000","$0.10","30244","10 Semanas","RES SMD 510 OHM 5% 1/4W 0603","Cumple con RoHS","Sin plomo","No afectado"
